Tag,score_risco,posicao
CA65926,0.077556310299004,1
CA65927,0.07585444373700341,2
CA65909,0.0661160912609476,3
CA65924,0.06164208671239985,4
CA65935,0.06034114430302198,5
CA5926,0.06006680177808926,6
CA65937,0.05899259071605674,7
CA65915,0.05899259071605674,8
CA65921,0.05815013355113429,9
CA65925,0.05815013355113429,10
CA65932,0.05815013355113429,11
CA65931,0.05815013355113429,12
CA65792,0.0572419223658559,13
CA65936,0.0572419223658559,14
CA65789,0.05709043426414413,15
