limiar,alertas_antecipados,falsos_positivos,beneficio_liquido
0.007758249058157103,165,21916,-7523413.219325153
0.007774768791165817,165,21813,-7477063.219325153
0.007792792728212753,165,21710,-7430713.219325153
0.007809195840754757,165,21607,-7384363.219325153
0.007828505300729361,165,21503,-7337563.219325153
0.00784862460016037,165,21402,-7292113.219325153
0.007863755491087426,164,21300,-7260387.684662577
0.007878754276186384,164,21196,-7213587.684662577
0.00789454610241085,164,21094,-7167687.684662577
0.00791430532113636,164,20990,-7120887.684662577
0.007930540665669564,163,20887,-7088712.15
0.007946762926833474,162,20784,-7056536.615337424
0.007960926754392188,162,20680,-7009736.615337424
0.007979776361715119,162,20579,-6964286.615337424
0.007998174988711219,162,20474,-6917036.615337424
0.008014339349839937,162,20370,-6870236.615337424
0.008034208707551596,162,20266,-6823436.615337424
0.008049116531726021,161,20165,-6792161.080674848
0.008066085941874846,161,20062,-6745811.080674848
0.008088536704553013,161,19958,-6699011.080674848
0.008106982202588568,161,19855,-6652661.080674848
0.008122229888935755,161,19751,-6605861.080674848
0.008136935907009212,161,19648,-6559511.080674848
0.008162655671272697,161,19545,-6513161.080674848
0.008181154193994393,161,19442,-6466811.080674848
0.008200798174295313,161,19338,-6420011.080674848
0.00821840969821223,161,19234,-6373211.080674848
0.008237416491732895,161,19131,-6326861.080674848
0.008255978619330988,161,19029,-6280961.080674848
0.008275457518253648,161,18925,-6234161.080674848
0.008296023604231264,161,18820,-6186911.080674848
0.008315250315154309,161,18717,-6140561.080674848
0.008330887041307413,161,18613,-6093761.080674848
0.00835189614395387,161,18510,-6047411.080674848
0.008374634150640227,161,18406,-6000611.080674848
0.00839686206598759,161,18302,-5953811.080674848
0.008418112096216556,161,18200,-5907911.080674848
0.008438481837002047,161,18095,-5860661.080674848
0.00846109605810786,161,17992,-5814311.080674848
0.008480114252182026,161,17888,-5767511.080674848
0.008503682784462686,161,17784,-5720711.080674848
0.008523122467616691,161,17681,-5674361.080674848
0.008546479796754826,161,17577,-5627561.080674848
0.00857338475155012,161,17474,-5581211.080674848
0.008595548970716979,161,17371,-5534861.080674848
0.008615287774901807,161,17268,-5488511.080674848
0.008636068740876883,161,17164,-5441711.080674848
0.008660736398577491,161,17060,-5394911.080674848
0.008685653820202095,160,16958,-5363185.54601227
0.008707427616418805,160,16855,-5316835.54601227
0.008732244171128835,160,16751,-5270035.54601227
0.008757452941636653,160,16646,-5222785.54601227
0.008788572901610208,160,16543,-5176435.54601227
0.00881763167444782,160,16439,-5129635.54601227
0.008846755187766802,160,16336,-5083285.54601227
0.008870318289718706,160,16231,-5036035.54601227
0.008890522465878969,160,16127,-4989235.54601227
0.008916518043914723,159,16025,-4957510.011349693
0.008947088083556405,159,15921,-4910710.011349693
0.008972362922694287,159,15817,-4863910.011349693
0.009006825759254898,159,15713,-4817110.011349693
