Tabela,Linhas,Colunas,Nulos_total,Duplicatas,Data_min,Data_max
Apontamentos,377907,9,140264,0,2025-01-01 00:00:00,2025-06-30 23:57:55
Telemetria,37164054,10,0,0,2025-01-01 00:00:00.017000,2025-06-30 23:59:56.887000
